Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
REF**,C_0504_1310Metric,C_0504_1310Metric,163.6014,-103.3018,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.576,-85.2424,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.576,-92.2274,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.5826,-89.9922,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.576,-87.6554,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.6014,-101.1682,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.6014,-98.9076,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.576,-94.4372,180,bottom
REF**,C_0504_1310Metric,C_0504_1310Metric,163.5948,-96.6724,180,bottom
REF**,ESP32-S2-MINI-1U,ESP32-S2-MINI-1U,86.248,-95.0368,180,bottom
REF**,CP_Elec_3x5.4,CP_Elec_3x5.4,162.028,-77.2668,0,bottom
REF**,CP_Elec_3x5.4,CP_Elec_3x5.4,162.0026,-72.771,0,bottom
REF**,CP_Elec_3x5.4,CP_Elec_3x5.4,161.9518,-68.199,0,bottom
REF**,CP_Elec_3x5.4,CP_Elec_3x5.4,161.9264,-63.7032,0,bottom